name,handle,description,followers_count,friends_count,listed_count,favourites_count,created_at,features,firstdate,lastdate,totalreplies,totallikes,totalretweets,mentions,totalengagementrate,ratiod,type,reach,colourval
Sam Coates Sky,SamCoatesSky,"Sam Coates, Deputy Political Editor, Sky News",130393,4791,2598,6045,Fri Feb 27 14:48:46 +0000 2009,78,13/02/2020,01/01/2020,5751,15525,6544,0,0.213355011,5.474691786,journo,153642.2864,
Paul Lewis,paullewismoney,"Financial journalist, broadcaster & public speaker. Seek truth, find truth, tell truth. Unequivocally for free speech and a free press. Wilkie Collins expert.",122415,1457,1605,8920,Tue Nov 30 11:42:28 +0000 2010,26,15/02/2020,04/02/2020,1630,13391,8409,3,0.191398113,6.307300845,journo,152290.191,
Tony Connelly,tconnellyRTE,"RTE Europe Editor, Author Brexit & Ireland, co-presenter Brexit Republic Podcast https://t.co/HFfuap3jND",101202,2377,1686,549,Sat May 14 20:55:07 +0000 2011,44,15/02/2020,08/01/2020,2482,39427,13461,0,0.547123575,41.73643035,journo,149025.7538,
Allister Heath,AllisterHeath,"Editor, The Sunday Telegraph",83093,1028,933,2913,Thu Jul 16 19:24:07 +0000 2009,44,13/02/2020,04/10/2018,11292,46746,18259,0,0.918212124,7.001481367,journo,147962.9146,
Jonathan Freedland,Freedland,"Columnist at the Guardian, presenter of BBC R4's The Long View. Writes thrillers under the name Sam Bourne",116870,1297,2133,9190,Thu Jun 04 09:00:22 +0000 2009,64,15/02/2020,28/11/2019,4240,29292,8598,0,0.36048601,7.408210561,journo,147416.6633,
Lewis Goodall,lewis_goodall,"Policy Editor @BBCNewsnight, I cover politics, policy and government in the UK and beyond | Author: Left for Dead. Buy here- https://t.co/0WXSfvTL3X",107424,3910,1331,10314,Thu Jul 14 13:56:30 +0000 2011,44,15/02/2020,08/02/2020,3304,37620,10952,32,0.482908847,11.56745418,journo,146333.8693,
Tim Shipman,ShippersUnbound,"Political Editor, Sunday Times. Author of All Out War (https://t.co/qNz4BLqhF5) & Fall Out (https://t.co/cuhpr2nGsd) Speaking: https://t.co/svGo7vvVQM",136921,3691,2110,4537,Thu Sep 04 18:58:17 +0000 2008,81,14/02/2020,04/01/2020,2360,14739,2613,0,0.143966229,4.930960325,journo,146204.3719,
John Crace,JohnJCrace,Parliamentary sketch writer for Guardian. https://t.co/DmmSjIRtpf Writer of Digested Read. Contributor to GQ. Author,65677,1855,631,7589,Thu May 28 09:10:30 +0000 2009,33,15/02/2020,12/01/2020,4322,103005,21547,0,1.962239445,19.49921429,journo,142228.402,
John Rentoul,JohnRentoul,"Chief Political Commentator, The Independent; visiting professor, King's College, London. Author: Heroes or Villains? The Blair Govt Reconsidered; Banned List",133562,441,2597,1641,Wed Mar 05 21:14:27 +0000 2008,68,15/02/2020,10/02/2020,879,2322,846,0,0.030300535,2.289296581,journo,136567.6382,
Nadine Dorries 🇬🇧,NadineDorries,Mum to 3 👸 & 2 🐶            MP for #MidBedfordshire Health Minister @dhscgovuk Sunday Times top 10 best selling author / https://t.co/nyZOITyAaH,62858,948,1039,5496,Sat Jan 07 00:11:00 +0000 2012,48,15/02/2020,23/11/2019,9727,77864,20338,0,1.717028859,7.148326904,journo,135114.1106,
George Eaton,georgeeaton,"Assistant Editor and writer, @NewStatesman. Former Political Editor. George[at]https://t.co/Vt8yIRpvk3",92917,4885,1746,20963,Thu Feb 12 11:11:24 +0000 2009,68,03/02/2020,20/12/2019,3051,40326,10084,0,0.575362958,8.672501059,journo,128743.0704,
Mark Di Stefano,MarkDiStef,"Media & Tech reporter, Financial Times. DMs open. Ask me for my WhatsApp/Signal - mark.distefano@ft.com",113902,3725,1414,16822,Tue May 05 07:51:07 +0000 2009,38,14/02/2020,30/01/2020,993,15919,3989,0,0.183499851,9.825439873,journo,128073.9749,
Nick Sutton,suttonnick,Editor of BBC News website.,123518,1976,2411,1329,Wed Feb 25 20:01:22 +0000 2009,67,14/02/2020,27/04/2018,314,1434,655,1,0.019454654,1.38935152,journo,125845.0603,
Alex Crawford,AlexCrawfordSky,Sky News Special Correspondent. Author of Colonel Gadaffi's Hat. Facebook: Alex Crawford Sky News Instagram : alex_crawford6  email: Alex.crawford@sky.uk,103976,2594,1491,2671,Fri Oct 30 09:02:26 +0000 2009,27,14/02/2020,22/10/2019,1011,9198,6115,0,0.156997769,5.454708631,journo,125701.1508,
Alberto Nardelli,AlbertoNardelli,Europe Editor at BuzzFeed News. Ex-Guardian. Get in touch: Alberto.Nardelli@BuzzFeed.com | DMs open. Ask for WhatsApp/Signal & ProtonMail,87155,5700,2935,8401,Mon Mar 12 11:24:33 +0000 2007,48,14/02/2020,18/10/2019,1742,24952,10703,0,0.429086111,14.6631131,journo,125180.2312,
Harry Cole,MrHarryCole,Work: Deputy Political Editor for the Mail on Sunday. Play: https://t.co/5VMOj2Dj4w,96194,4471,1916,4938,Tue Jul 08 01:56:27 +0000 2008,71,15/02/2020,21/01/2020,4355,31204,6454,0,0.436752812,7.118960698,journo,119123.5377,
Jim Pickard,PickardJE,"Chief Political Correspondent, Financial Times",98036,4298,1774,48610,Wed Aug 26 20:06:27 +0000 2009,74,15/02/2020,03/02/2020,3449,24495,5756,0,0.343751275,8.795692347,journo,118485.7085,
Julia Macfarlane,juliamacfarlane,@ABC foreign affairs reporter | London Leadership Council @pressfreedom | @Forbes #30under30 alum | @staenglish alum | Views mine. 🏴󠁧󠁢󠁳󠁣󠁴󠁿🇲🇨,101478,1983,2045,41798,Thu Feb 05 16:06:57 +0000 2009,24,15/02/2020,26/01/2020,914,14662,3819,9,0.19112517,8.103990745,journo,115046.005,
Jon Sopel,BBCJonSopel,"Jon Sopel, BBC North America Editor",104070,903,1824,1284,Tue Apr 06 09:37:41 +0000 2010,58,15/02/2020,13/01/2020,1277,14722,2592,0,0.178639377,5.472126715,journo,113278.7638,
alex thomson,alextomo,"Chief Correspondent and Presenter, Channel 4 News.",103259,3167,2049,241,Wed Jul 01 15:29:30 +0000 2009,38,15/02/2020,15/01/2020,1161,6546,2658,9,0.100378659,5.127592286,journo,112702.2462,
Hannah Jane Parkinson,ladyhaja,writer @guardian & observer | politics | culture | media | tech | mental health | humour | LFC | 🏳️‍🌈 hannah.jane.parkinson@theguardian.com,102077,5878,817,73526,Sat Apr 30 20:29:03 +0000 2011,17,15/02/2020,07/02/2020,1138,23161,2804,33,0.265515248,5.633233658,journo,112038.9497,
Janice Turner,VictoriaPeckham,"Columnist & interviewer for The Times. 
Trustee of Centre for Women's Justice https://t.co/VFeskIB4W0",59241,1474,764,21593,Wed Jul 22 15:11:05 +0000 2009,37,15/02/2020,06/12/2019,4240,68465,14554,0,1.472949478,15.65272787,journo,110947.9246,
tom bradby,tombradby,"Anchor, News at Ten.",85943,258,1074,33,Mon Jun 21 16:15:23 +0000 2010,66,15/02/2020,21/08/2019,7451,44095,6810,7,0.67900818,7.021467901,journo,110137.3216,
Lionel Barber,lionelbarber,"Writer-raconteur, formerly Editor of the Financial Times. Amateur cyclist. Tottenham Hotspur fan",81570,656,1577,5047,Fri Jan 04 14:19:42 +0000 2013,47,15/02/2020,07/12/2019,1995,22772,7617,2,0.397008704,13.93396411,journo,108631.402,
Jessica Elgot,jessicaelgot,chief political correspondent for the @guardian - currently on maternity leave 👶🏻 jessica.elgot@theguardian.com #lufc #yorkshire,63251,2696,1328,8028,Mon Sep 29 16:01:44 +0000 2008,53,10/02/2020,30/08/2019,2625,42951,12681,1,0.921044727,15.09305408,journo,108303.598,
Michael Deacon,MichaelPDeacon,"Bias 'so called' juornalist, Daily Telegraph",58238,2837,1070,6870,Mon Feb 27 22:18:58 +0000 2012,64,14/02/2020,12/12/2019,5188,68618,13761,0,1.503605893,18.09618135,journo,107127.5829,
Tom Peck,tompeck,"Political Sketch Writer and columnist at the @independent. Before that, Sports Writer and Olympics Correspondent.",64012,2002,937,12807,Mon Feb 02 00:07:51 +0000 2009,46,14/02/2020,31/01/2020,2341,52808,11650,21,1.043538711,16.65149628,journo,105401.6985,
Rafael Behr,rafaelbehr,"Political Columnist/Writer, The Guardian",82189,1072,1163,8363,Thu Jun 02 18:45:38 +0000 2011,63,12/02/2020,23/10/2019,3114,25298,5874,12,0.417160447,8.465253259,journo,103057.9347,
Kamal Ahmed,bbckamal,"Editorial Director, BBC News",92163,753,1369,365,Fri Oct 02 21:32:27 +0000 2009,42,15/02/2020,09/06/2019,1736,8485,2613,5,0.13925328,4.967572952,journo,101446.3719,
Quentin Sommerville,sommervilletv,BBC Middle East Correspondent,87378,3635,2161,30274,Sun Jul 03 09:26:05 +0000 2011,24,14/02/2020,14/01/2020,717,10481,3691,14,0.170397583,8.881813184,journo,100491.2513,
Patrick Wintour,patrickwintour,"Guardian Diplomatic Editor.  Covered UK politics for too many decades including as Political Editor.  Now urgently studying maps, history and Google Translate.",80307,1008,1622,876,Mon Mar 30 18:00:56 +0000 2009,73,15/02/2020,16/12/2019,644,10667,5265,2,0.20640791,5.824516086,journo,99012.30151,
suzanne moore,suzanne_moore,"“Life in this society being, at best, an utter bore and no aspect of society being at all relevant to ...""",86235,1586,1075,38259,Wed Jan 28 14:48:07 +0000 2009,30,15/02/2020,11/01/2020,2672,29706,3477,18,0.415782455,10.51277898,journo,98587.9598,
James Forsyth,JGForsyth,Political editor of The Spectator and Sun columnist,77175,1785,1281,66,Tue Feb 21 17:00:46 +0000 2012,77,15/02/2020,12/12/2019,3181,25465,5965,0,0.448474247,12.93790255,journo,98367.23618,
Sophy Ridge on Sunday,RidgeOnSunday,Politics show on @SkyNews where @SophyRidgeSky interviews the biggest names as well as getting out and about around the UK. 8.30am every Sunday. #Ridge,60801,561,488,99,Fri Jan 07 17:35:51 +0000 2011,45,15/02/2020,01/12/2019,13429,22391,9364,0,0.743145672,2.252342461,journo,94069.0804,
Camilla Long,camillalong,"Sunday Times columnist, interviewer, tv critic",68794,677,648,208,Tue Feb 10 10:03:14 +0000 2009,18,14/02/2020,19/11/2019,3516,37894,6322,4,0.693839579,5.052209797,journo,91254.57286,
sophieraworth,sophieraworth,"BBC newsreader, presenter, @costabookawards judge and addicted long distance runner....also @raworthontherun (my views, not the BBC's)",87725,935,628,2763,Sat Dec 26 19:28:59 +0000 2009,23,13/02/2020,18/05/2019,1067,17316,937,11,0.220233685,7.414957855,journo,91053.9397,
Sebastian Payne,SebastianEPayne,#NAME?,71140,2570,1376,7064,Sat Jul 03 19:41:54 +0000 2010,65,15/02/2020,29/01/2020,2201,12041,5204,0,0.273348327,6.698230821,journo,89628.58291,
fleetstreetfox,fleetstreetfox,"Fleet Street hack and author. Often sarcastic, occasionally right. Fox (n) carnivore of genus vulpes; crafty person; scavenger; (vb) to confuse; to be drunk",85482,1513,1518,14,Mon Oct 26 17:36:18 +0000 2009,33,15/02/2020,31/01/2020,720,3168,857,2,0.055508762,4.003868978,journo,88526.71859,
Jane Garvey,janegarvey1,Proud to be part of @bbcwomanshour and #Fortunately podcast with @fifiglover. Bangs on about equal pay.,84858,3017,594,10892,Sat Dec 04 20:32:08 +0000 2010,30,14/02/2020,10/01/2020,759,10322,588,11,0.137512079,5.598615912,journo,86947.02513,
Iain Martin,iainmartin1,"Columnist for The Times, editor of Reaction, commentator/hack/author. Sign up to weekly subscriber newsletter via link below",74211,2715,1367,13943,Mon Feb 01 15:00:58 +0000 2010,68,15/02/2020,05/02/2020,1867,15846,3422,20,0.284796054,2.907138566,journo,86368.55779,
Aditya Chakrabortty,chakrabortty,I am gainfully employed by a newspaper. Future generations will not be able to say that.,73979,5595,1136,18936,Thu Mar 26 13:06:08 +0000 2009,27,15/02/2020,19/12/2019,651,11611,3287,12,0.210181268,8.384368521,journo,85656.93467,
Tom Harwood,tomhfh,"Journalist and Commentator | ""TV Star"" - Hello Magazine | Senior Reporter @GuidoFawkes | Words also in the @Telegraph & @FMConservatives | Contact on my site👇",61697,707,478,62122,Mon Jan 02 23:40:32 +0000 2012,17,15/02/2020,08/02/2020,4449,36304,6332,17,0.763165146,8.910212442,journo,84193.1005,
Peter Foster,pmdfoster,"Europe Editor of the Daily Telegraph. Soon to join Financial Times. Formerly Washington DC, Beijing and New Delhi. Opinions my own.",58523,3189,1330,12347,Tue Mar 10 06:14:07 +0000 2009,55,15/02/2020,03/02/2020,1400,22257,6657,25,0.517984382,19.22990081,journo,82173.74874,
Sunny Hundal,sunny_hundal,"British journalist. Work at @openDemocracy. Write columns too (mostly @Independent, earlier @HTtweets). P/t @Barfi_Culture. Mostly about identity & politics.",80594,1460,2240,18021,Thu Feb 26 15:39:06 +0000 2009,37,15/02/2020,09/02/2020,372,824,210,12,0.017445467,0.845511935,journo,81340.0804,
Adam Fleming,adamfleming,BBC Brussels Correspondent. A fifth of #Brexitcast (and sometimes #Electioncast). Ex Newsround & Daily Politics. Not the BBC's views.,74447,1604,1280,2480,Wed Jul 16 13:20:31 +0000 2008,50,15/02/2020,09/01/2020,1285,7535,1874,12,0.143645815,5.12932364,journo,81104.8794,
Mark Austin,markaustintv,Sky News London or wherever. Chelsea FC whenever. The Newshour with Mark Austin 5-6pm weeknights @skynews. And Thank For Watching @atlanticbooks,75184,4153,637,221,Tue Nov 17 17:31:04 +0000 2009,38,15/02/2020,05/12/2019,941,13685,1625,3,0.216149713,8.330802965,journo,80957.24121,
Daniel Sandford,BBCDanielS,"I am Home Affairs Correspondent for BBC News. Police, prisons, law, crime and terrorism. Before that Moscow Correspondent so still tweet about Russia/Ukraine.",77112,7027,2238,4,Fri Jul 08 14:32:54 +0000 2011,25,13/02/2020,05/12/2019,348,1636,793,0,0.036012553,2.388107635,journo,79929.34171,
Theo Usherwood,theousherwood,Political Editor of @LBC,66211,3411,598,283,Mon Jan 17 21:51:38 +0000 2011,49,13/02/2020,19/12/2019,2281,7714,3555,5,0.204648774,3.759009352,journo,78841.07538,
AndrewSparrow,AndrewSparrow,"I write the Guardian's Politics Live blog - news from Westminster as it happens, with analysis, all the best quotes and key links to relevant blogs/sources",75946,1268,1978,111,Fri Aug 08 14:36:29 +0000 2008,75,14/02/2020,13/12/2019,459,1111,610,0,0.028704606,1.404288471,journo,78113.18593,
steve richards,steverichards14,"Steve Richards is a writer and broadcaster. He presents an ever changing one man show, Rock N Roll Politics. His latest book is The Prime Ministers.",50800,1324,989,5241,Fri Jun 25 12:20:13 +0000 2010,69,14/02/2020,23/11/2019,1802,18925,7265,4,0.551023622,6.033408984,journo,76610.82915,
Paul Lewis,PaulLewis,"Head of Investigations at the Guardian. Previously Associate Editor, San Francisco Bureau Chief and Washington Correspondent.",65853,982,2268,2072,Mon Mar 30 16:39:17 +0000 2009,33,14/02/2020,07/05/2019,505,8135,2927,0,0.175648794,5.334019995,journo,76251.9397,
Sian Williams,sianwilliams100,"Presenter ITV, ITN, C5. Writer.
2nd year Psych Doctoral student, 
Chair of @CostaBookAwards. 
Queries to @KnightAyton   https://t.co/Sgl5k1srMV",73862,1492,692,569,Tue May 18 08:49:54 +0000 2010,22,04/02/2020,16/06/2019,878,10129,630,3,0.157550567,8.136330501,journo,76100.24121,
Rachel Johnson,RachelSJohnson,"Blonde Show Pony.  Agents: Georgia Garrett RCW (books); Cathy King, 42 Management (TV, film). Insta @racheljohnsonpublic",58090,867,403,2612,Wed Mar 25 17:03:30 +0000 2009,42,13/02/2020,18/07/2019,2254,26682,5051,0,0.585074884,5.308923257,journo,76035.01005,
Peter Hunt,_PeterHunt,"NHS Board level director, broadcaster and commentator on constitutional and royal issues.Ex-BBC diplomatic and royal correspondent and presenter. https://t.co/tyzNUf39wY",59895,3208,927,20,Thu Jan 27 13:34:51 +0000 2011,20,08/02/2020,31/10/2019,2119,19358,4423,0,0.432423408,7.74188976,journo,75608.87437,
Marie Le Conte,youngvulgarian,"political journalist, hard-working dilettante / Haven't You Heard? Gossip, Power & How Politics Really Works out now / marie.s.leconte@gmail.com",71486,3626,959,256446,Sat Mar 19 14:21:55 +0000 2011,35,15/02/2020,09/02/2020,836,11538,687,29,0.182707103,10.46500727,journo,73926.74874,
